Date,CashValue,AssetValue,TotalValue
1983-01-19,2.833000000001448,43658.667,43661.5
1983-01-20,2.833000000001448,43352.219,43355.051999999996
1983-01-21,2.833000000001448,42453.80499999999,42456.63799999999
1983-01-24,2.833000000001448,41711.638999999996,41714.471999999994
1983-01-25,2.833000000001448,42777.345,42780.178
1983-01-26,42587.51900000001,0.0,42587.51900000001
1983-01-27,2573.1010000000074,40494.911,43068.01200000001
1983-01-28,2573.1010000000074,40396.67799999999,42969.779
1983-01-31,2573.1010000000074,41769.608,44342.70900000001
1983-02-01,2573.1010000000074,41466.277,44039.37800000001
1983-02-02,2573.1010000000074,41221.749,43794.85000000001
1983-02-03,2573.1010000000074,41339.524,43912.62500000001
1983-02-04,2573.1010000000074,42303.132,44876.23300000001
1983-02-07,2573.1010000000074,42521.627,45094.72800000001
1983-02-08,2573.1010000000074,42112.407,44685.50800000001
1983-02-09,2573.1010000000074,42140.409999999996,44713.511000000006
1983-02-10,2573.1010000000074,42669.60200000001,45242.70300000002
1983-02-11,2573.1010000000074,42861.954,45435.05500000001
1983-02-14,2573.1010000000074,43427.192,46000.29300000001
1983-02-15,2573.1010000000074,43023.939999999995,45597.041000000005
1983-02-16,2573.1010000000074,42455.727,45028.82800000001
1983-02-17,2573.1010000000074,42395.071,44968.17200000001
1983-02-18,2573.1010000000074,42449.752,45022.85300000001
1983-02-22,2573.1010000000074,41393.112,43966.21300000001
1983-02-23,2573.1010000000074,41705.263,44278.36400000001
1983-02-24,2573.1010000000074,42562.224,45135.32500000001
1983-02-25,2573.1010000000074,42748.026000000005,45321.127000000015
1983-02-28,2573.1010000000074,42547.02,45120.12100000001
1983-03-01,2573.1010000000074,42811.50499999999,45384.606
1983-03-02,2573.1010000000074,42504.297999999995,45077.399000000005
1983-03-03,2573.1010000000074,42869.643000000004,45442.74400000001
1983-03-04,2573.1010000000074,43078.143000000004,45651.24400000001
1983-03-07,2573.1010000000074,42997.51500000001,45570.616000000016
1983-03-08,2573.1010000000074,42322.361000000004,44895.462000000014
1983-03-09,2573.1010000000074,42989.789000000004,45562.890000000014
1983-03-10,2573.1010000000074,43004.840000000004,45577.94100000001
1983-03-11,2573.1010000000074,42749.956,45323.05700000001
1983-03-14,2573.1010000000074,42762.165,45335.26600000001
1983-03-15,2573.1010000000074,43286.501000000004,45859.60200000001
1983-03-16,2573.1010000000074,43172.716,45745.81700000001
1983-03-17,2573.1010000000074,43198.605,45771.70600000001
1983-03-18,2573.1010000000074,43474.948,46048.049000000006
1983-03-21,2573.1010000000074,43786.996999999996,46360.098000000005
1983-03-22,2573.1010000000074,43589.59100000001,46162.69200000002
1983-03-23,2573.1010000000074,44165.544,46738.64500000001
1983-03-24,2573.1010000000074,44845.948,47419.049000000006
1983-03-25,2573.1010000000074,45638.32400000001,48211.42500000002
1983-03-28,2573.1010000000074,45637.225,48210.32600000001
1983-03-29,2573.1010000000074,45306.78399999999,47879.885
1983-03-30,2573.1010000000074,45795.367000000006,48368.468000000015
1983-03-31,2573.1010000000074,45031.176,47604.27700000001
1983-04-04,2573.1010000000074,44985.712999999996,47558.814000000006
1983-04-05,2573.1010000000074,44997.30099999999,47570.402
1983-04-06,2573.1010000000074,44839.316,47412.41700000001
1983-04-07,2573.1010000000074,45067.069,47640.17000000001
1983-04-08,2573.1010000000074,45148.759000000005,47721.860000000015
1983-04-11,2573.1010000000074,45485.33800000001,48058.43900000002
1983-04-12,2573.1010000000074,45922.268,48495.369000000006
1983-04-13,2573.1010000000074,46277.365999999995,48850.467000000004
1983-04-14,2573.1010000000074,47246.320999999996,49819.422000000006
1983-04-15,2573.1010000000074,48022.22900000001,50595.330000000016
1983-04-18,2573.1010000000074,47909.55500000001,50482.65600000002
1983-04-19,2573.1010000000074,47383.16300000001,49956.26400000002
1983-04-20,2573.1010000000074,48032.064,50605.16500000001
1983-04-21,2573.1010000000074,47274.58699999999,49847.688
1983-04-22,2573.1010000000074,47626.67,50199.77100000001
1983-04-25,2573.1010000000074,46998.692,49571.79300000001
1983-04-26,2573.1010000000074,47432.183000000005,50005.284000000014
1983-04-27,2573.1010000000074,47440.718,50013.81900000001
1983-04-28,2573.1010000000074,47274.13200000001,49847.23300000002
1983-04-29,2573.1010000000074,47741.854999999996,50314.956000000006
1983-05-02,2573.1010000000074,47073.847,49646.94800000001
1983-05-03,2573.1010000000074,47074.105,49647.20600000001
1983-05-04,2573.1010000000074,47524.68199999999,50097.783
1983-05-05,2573.1010000000074,48348.575,50921.67600000001
1983-05-06,2573.1010000000074,49654.549,52227.65000000001
1983-05-09,2573.1010000000074,49956.721999999994,52529.823000000004
1983-05-10,2573.1010000000074,50572.771,53145.87200000001
1983-05-11,2573.1010000000074,50140.863,52713.96400000001
1983-05-12,2573.1010000000074,50348.81499999999,52921.916
1983-05-13,2573.1010000000074,51328.477,53901.57800000001
1983-05-16,2573.1010000000074,50934.064,53507.16500000001
1983-05-17,2573.1010000000074,51189.786,53762.88700000001
1983-05-18,2573.1010000000074,51165.937,53739.03800000001
1983-05-19,2573.1010000000074,50372.423,52945.52400000001
1983-05-20,2573.1010000000074,50610.226,53183.32700000001
1983-05-23,2573.1010000000074,50893.866,53466.96700000001
1983-05-24,2573.1010000000074,51524.80600000001,54097.90700000002
1983-05-25,2573.1010000000074,51901.198000000004,54474.29900000001
1983-05-26,2573.1010000000074,51951.286,54524.38700000001
1983-05-27,2573.1010000000074,51641.659,54214.76000000001
1983-05-31,2573.1010000000074,50930.35500000001,53503.45600000002
1983-06-01,2573.1010000000074,50984.531,53557.63200000001
1983-06-02,2573.1010000000074,52504.759,55077.86000000001
1983-06-03,2573.1010000000074,53574.313,56147.41400000001
1983-06-06,56115.936,0.0,56115.936
1983-06-07,2130.763000000001,53188.68299999998,55319.44599999998
1983-06-08,2130.763000000001,53269.859,55400.621999999996
1983-06-09,2130.763000000001,53654.405,55785.168
1983-06-10,2130.763000000001,54390.023,56520.786
1983-06-13,2130.763000000001,53987.31900000002,56118.08200000002
1983-06-14,2130.763000000001,54266.032,56396.795
1983-06-15,2130.763000000001,55007.55000000001,57138.31300000001
1983-06-16,2130.763000000001,55622.908,57753.671
1983-06-17,2130.763000000001,55463.488000000005,57594.251000000004
1983-06-20,2130.763000000001,55225.21699999999,57355.97999999999
1983-06-21,2130.763000000001,55852.405000000006,57983.168000000005
